free_flow_speed,confidence,weekend,day,hour,minute,current_speed
35,0.9969613333333333,False,28,14,0,24
36,0.9980530000000001,False,28,14,15,24
35,0.9991346666666666,False,28,14,30,25
36,0.9913986666666667,False,28,14,45,25
35,0.9978266666666666,False,28,15,0,25
36,0.99674,False,28,15,15,25
35,0.992773,False,28,15,30,24
36,0.9934903333333334,False,28,15,45,25
35,0.9865389999999999,False,28,16,0,24
35,0.990236,False,28,16,15,25
36,0.9956736666666668,False,28,16,30,23
35,0.9956086666666667,False,28,16,45,23
36,0.99436,False,28,17,0,25
35,0.9947393333333334,False,28,17,15,26
36,0.9932066666666667,False,28,17,30,26
36,0.9890666666666666,False,28,17,45,25
35,0.984109,False,28,18,0,27
35,0.9621815,False,28,18,15,27
36,0.989617,False,28,18,30,28
35,0.9961065,False,28,18,45,31
35,0.9974045,False,28,19,0,32
36,1.0,False,28,19,15,36
35,0.9978266666666666,False,28,19,30,33
36,1.0,False,28,19,45,36
36,0.9963026666666667,False,28,20,0,34
36,1.0,False,28,20,15,36
36,1.0,False,28,20,30,36
36,1.0,False,28,20,45,36
36,1.0,False,28,21,0,36
36,1.0,False,28,21,15,36
36,1.0,False,28,21,30,36
36,1.0,False,28,21,45,36
36,1.0,False,28,22,0,36
36,1.0,False,28,22,15,36
36,1.0,False,28,22,30,36
36,1.0,False,28,22,45,36
36,1.0,False,28,23,0,36
36,1.0,False,28,23,15,36
36,1.0,False,28,23,30,36
36,1.0,False,28,23,45,36
